station_code;date;DDVEC;FHVEC
330;2020-12-08T00:00:00.000Z;136;2.9
330;2020-12-09T00:00:00.000Z;168;7.3
330;2020-12-10T00:00:00.000Z;146;6.9
330;2020-12-11T00:00:00.000Z;139;8.6
330;2020-12-12T00:00:00.000Z;237;2.4
330;2020-12-13T00:00:00.000Z;184;6.6
330;2020-12-14T00:00:00.000Z;181;9.3
330;2020-12-15T00:00:00.000Z;193;5.3
330;2020-12-16T00:00:00.000Z;160;7.4
330;2020-12-17T00:00:00.000Z;204;7.4
330;2020-12-18T00:00:00.000Z;178;10.1
330;2020-12-19T00:00:00.000Z;177;9.7
330;2020-12-20T00:00:00.000Z;196;7.8
330;2020-12-21T00:00:00.000Z;185;8.7
330;2020-12-22T00:00:00.000Z;231;5.0
330;2020-12-23T00:00:00.000Z;205;5.5
330;2020-12-24T00:00:00.000Z;10;9.1
330;2020-12-25T00:00:00.000Z;353;6.9
330;2020-12-26T00:00:00.000Z;213;9.5
330;2020-12-27T00:00:00.000Z;195;12.0
330;2020-12-28T00:00:00.000Z;145;4.3
330;2020-12-29T00:00:00.000Z;236;3.0
330;2020-12-30T00:00:00.000Z;258;5.2
330;2020-12-31T00:00:00.000Z;161;0.7
330;2021-01-01T00:00:00.000Z;255;4.3
330;2021-01-02T00:00:00.000Z;196;0.5
330;2021-01-03T00:00:00.000Z;56;6.7
330;2021-01-04T00:00:00.000Z;49;9.7
330;2021-01-05T00:00:00.000Z;56;7.6
330;2021-01-06T00:00:00.000Z;30;4.3
330;2021-01-07T00:00:00.000Z;338;8.8
330;2021-01-08T00:00:00.000Z;2;3.6
330;2021-01-09T00:00:00.000Z;339;4.2
330;2021-01-10T00:00:00.000Z;256;4.9
330;2021-01-11T00:00:00.000Z;242;8.9
330;2021-01-12T00:00:00.000Z;310;8.3
330;2021-01-13T00:00:00.000Z;301;8.2
330;2021-01-14T00:00:00.000Z;82;5.3
330;2021-01-15T00:00:00.000Z;80;0.9
330;2021-01-16T00:00:00.000Z;186;7.7
330;2021-01-17T00:00:00.000Z;307;7.5
330;2021-01-18T00:00:00.000Z;240;6.9
330;2021-01-19T00:00:00.000Z;213;12.3
330;2021-01-20T00:00:00.000Z;185;12.5
330;2021-01-21T00:00:00.000Z;210;10.3
330;2021-01-22T00:00:00.000Z;235;6.1
330;2021-01-23T00:00:00.000Z;250;3.7
330;2021-01-24T00:00:00.000Z;261;1.1
330;2021-01-25T00:00:00.000Z;290;4.9
330;2021-01-26T00:00:00.000Z;261;6.4
330;2021-01-27T00:00:00.000Z;227;5.3
330;2021-01-28T00:00:00.000Z;135;2.9
330;2021-01-29T00:00:00.000Z;264;7.1
330;2021-01-30T00:00:00.000Z;76;8.8
330;2021-01-31T00:00:00.000Z;88;6.3
330;2021-02-01T00:00:00.000Z;40;2.8
330;2021-02-02T00:00:00.000Z;178;4.3
330;2021-02-03T00:00:00.000Z;228;6.0
330;2021-02-04T00:00:00.000Z;183;3.3
330;2021-02-05T00:00:00.000Z;152;3.1
330;2021-02-06T00:00:00.000Z;75;7.7
330;2021-02-07T00:00:00.000Z;58;12.4
330;2021-02-08T00:00:00.000Z;66;9.4
330;2021-02-09T00:00:00.000Z;62;6.2
330;2021-02-10T00:00:00.000Z;58;5.4
330;2021-02-11T00:00:00.000Z;93;3.8
